epoch,timestamp,operations,operations-delta,operations/second
1616751304.142,26/03/2021 12:35:04,23026,23026,23002.997
1616751305.142,26/03/2021 12:35:05,47178,24152,24152
1616751306.142,26/03/2021 12:35:06,71237,24059,24059
1616751307.142,26/03/2021 12:35:07,94565,23328,23328
1616751308.142,26/03/2021 12:35:08,119199,24634,24634
1616751309.142,26/03/2021 12:35:09,144190,24991,24991
1616751310.142,26/03/2021 12:35:10,167465,23275,23275
1616751311.142,26/03/2021 12:35:11,191115,23650,23650
1616751312.142,26/03/2021 12:35:12,216211,25096,25096
1616751313.143,26/03/2021 12:35:13,240255,24044,24019.98
1616751314.143,26/03/2021 12:35:14,265009,24754,24754
1616751315.143,26/03/2021 12:35:15,290195,25186,25186
1616751316.143,26/03/2021 12:35:16,314595,24400,24400
1616751317.143,26/03/2021 12:35:17,339269,24674,24674
1616751318.143,26/03/2021 12:35:18,364277,25008,25008
1616751319.144,26/03/2021 12:35:19,388747,24470,24445.554
1616751320.144,26/03/2021 12:35:20,413135,24388,24388
1616751321.144,26/03/2021 12:35:21,438104,24969,24969
1616751322.144,26/03/2021 12:35:22,463124,25020,25020
1616751323.144,26/03/2021 12:35:23,487710,24586,24586
1616751324.144,26/03/2021 12:35:24,513090,25380,25380
1616751325.144,26/03/2021 12:35:25,536479,23389,23389
1616751326.144,26/03/2021 12:35:26,560704,24225,24225
1616751327.145,26/03/2021 12:35:27,585586,24882,24857.143
1616751328.145,26/03/2021 12:35:28,610658,25072,25072
1616751329.145,26/03/2021 12:35:29,635749,25091,25091
1616751330.145,26/03/2021 12:35:30,660561,24812,24812
1616751331.145,26/03/2021 12:35:31,685402,24841,24841
1616751332.145,26/03/2021 12:35:32,709935,24533,24533
1616751333.145,26/03/2021 12:35:33,733452,23517,23517
1616751334.145,26/03/2021 12:35:34,758647,25195,25195
1616751335.145,26/03/2021 12:35:35,783566,24919,24919
1616751336.146,26/03/2021 12:35:36,807981,24415,24390.609
1616751337.146,26/03/2021 12:35:37,832984,25003,25003
1616751338.146,26/03/2021 12:35:38,858060,25076,25076
1616751339.146,26/03/2021 12:35:39,882717,24657,24657
1616751340.146,26/03/2021 12:35:40,906735,24018,24018
1616751341.146,26/03/2021 12:35:41,931599,24864,24864
1616751342.146,26/03/2021 12:35:42,956551,24952,24952
1616751343.147,26/03/2021 12:35:43,980877,24326,24301.698
1616751344.147,26/03/2021 12:35:44,1005573,24696,24696
1616751345.147,26/03/2021 12:35:45,1030371,24798,24798
1616751346.147,26/03/2021 12:35:46,1055001,24630,24630
1616751347.147,26/03/2021 12:35:47,1079661,24660,24660
1616751348.147,26/03/2021 12:35:48,1104192,24531,24531
1616751349.147,26/03/2021 12:35:49,1128746,24554,24554
1616751350.147,26/03/2021 12:35:50,1152967,24221,24221
1616751351.147,26/03/2021 12:35:51,1177894,24927,24927
1616751352.148,26/03/2021 12:35:52,1202579,24685,24660.34
1616751353.148,26/03/2021 12:35:53,1227325,24746,24746
1616751354.148,26/03/2021 12:35:54,1251721,24396,24396
1616751355.148,26/03/2021 12:35:55,1275664,23943,23943
1616751356.148,26/03/2021 12:35:56,1300020,24356,24356
1616751357.148,26/03/2021 12:35:57,1324642,24622,24622
1616751358.149,26/03/2021 12:35:58,1349218,24576,24551.449
1616751359.149,26/03/2021 12:35:59,1373850,24632,24632
1616751360.149,26/03/2021 12:36:00,1397991,24141,24141
1616751361.149,26/03/2021 12:36:01,1422084,24093,24093
1616751362.149,26/03/2021 12:36:02,1446500,24416,24416
1616751363.15,26/03/2021 12:36:03,1470541,24041,24016.983
1616751364.15,26/03/2021 12:36:04,1494377,23836,23836
1616751365.15,26/03/2021 12:36:05,1518760,24383,24383
1616751366.15,26/03/2021 12:36:06,1543190,24430,24430
1616751367.15,26/03/2021 12:36:07,1567216,24026,24026
1616751368.15,26/03/2021 12:36:08,1591030,23814,23814
1616751369.15,26/03/2021 12:36:09,1615609,24579,24579
1616751370.15,26/03/2021 12:36:10,1639950,24341,24341
1616751371.15,26/03/2021 12:36:11,1664439,24489,24489
1616751372.151,26/03/2021 12:36:12,1689027,24588,24563.437
1616751373.151,26/03/2021 12:36:13,1713489,24462,24462
1616751374.151,26/03/2021 12:36:14,1737954,24465,24465
1616751375.151,26/03/2021 12:36:15,1762392,24438,24438
1616751376.151,26/03/2021 12:36:16,1786773,24381,24381
1616751377.151,26/03/2021 12:36:17,1810910,24137,24137
1616751378.151,26/03/2021 12:36:18,1835430,24520,24520
1616751379.151,26/03/2021 12:36:19,1859682,24252,24252
1616751380.151,26/03/2021 12:36:20,1883835,24153,24153
1616751381.151,26/03/2021 12:36:21,1908083,24248,24248
1616751382.152,26/03/2021 12:36:22,1932421,24338,24313.686
1616751383.152,26/03/2021 12:36:23,1956737,24316,24316
1616751384.152,26/03/2021 12:36:24,1981124,24387,24387
1616751385.152,26/03/2021 12:36:25,2005381,24257,24257
1616751386.152,26/03/2021 12:36:26,2029730,24349,24349
1616751387.152,26/03/2021 12:36:27,2054162,24432,24432
1616751388.152,26/03/2021 12:36:28,2078689,24527,24527
1616751389.152,26/03/2021 12:36:29,2102815,24126,24126
1616751390.152,26/03/2021 12:36:30,2127425,24610,24610
1616751391.152,26/03/2021 12:36:31,2151419,23994,23994
1616751392.153,26/03/2021 12:36:32,2175311,23892,23868.132
