"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","SERVER2",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.13-SNAPSHOT/workers/2021-03-26__12_34_33/A2_dstat.csv 5",,,,"Date:","26 Mar 2021 12:34:38 +03"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1616751278.554,10488479744.0,1654558720.0,34792611840.0,7.64374122496e+11,8.421,3.072,87.463,0.003,0.0,1.040,106.038,191629.362,0.0,0.0,0.0,0.0,7567.925,335291.428,1.060,1.180,1.130
1616751283.579,11147300864.0,1654558720.0,34792685568.0,7.63715227648e+11,1.882,0.219,97.899,0.0,0.0,0.0,0.0,819.200,10929.600,6778.600,0.0,0.0,7750.0,9154.800,1.060,1.170,1.130
1616751288.579,11134296064.0,1654558720.0,34792701952.0,7.63728216064e+11,0.015,0.005,99.980,0.0,0.0,0.0,0.0,0.0,1145.200,962.800,0.0,0.0,1396.0,1414.200,1.050,1.170,1.130
1616751293.579,11124015104.0,1654558720.0,34792701952.0,7.63738497024e+11,0.015,0.005,99.980,0.0,0.0,0.0,0.0,52428.800,493.600,716.800,0.0,0.0,1420.800,1446.200,1.050,1.170,1.130
1616751298.579,11145547776.0,1654558720.0,34792701952.0,7.63716964352e+11,0.365,0.045,99.585,0.0,0.0,0.005,0.0,0.0,1391311.800,43717.400,0.0,0.0,6641.0,6786.200,1.050,1.160,1.130
1616751303.562,11361771520.0,1654558720.0,34792738816.0,7.63500703744e+11,4.872,0.722,94.351,0.020,0.0,0.035,0.0,0.0,16684124.400,9613663.800,0.0,0.0,60532.800,84404.400,1.040,1.160,1.130
1616751308.579,11366854656.0,1654558720.0,34792742912.0,7.63495616512e+11,0.552,0.387,99.051,0.0,0.0,0.010,0.0,26214.400,7056197.400,10077021.400,0.0,0.0,64451.800,84703.800,1.040,1.160,1.130
1616751313.555,11439640576.0,1654558720.0,34792747008.0,7.63422826496e+11,0.526,0.612,98.836,0.020,0.0,0.005,0.0,17203.200,7186740.200,10097852.400,0.0,0.0,65182.400,83434.0,1.120,1.170,1.130
1616751318.579,11438743552.0,1654558720.0,34792747008.0,7.6342372352e+11,0.371,0.386,99.233,0.0,0.0,0.010,0.0,5734.400,7382784.0,10355656.400,0.0,0.0,64545.800,86086.0,1.110,1.170,1.130
1616751323.556,11439702016.0,1654558720.0,34792747008.0,7.63422765056e+11,0.334,0.339,99.322,0.0,0.0,0.005,0.0,79257.600,7234175.0,10313537.200,0.0,0.0,63857.0,84564.600,1.100,1.170,1.130
1616751328.556,11481976832.0,1654558720.0,34792755200.0,7.63380482048e+11,0.428,0.499,99.038,0.030,0.0,0.005,0.0,819.200,7303932.0,10357063.600,0.0,0.0,65013.600,85060.200,1.090,1.160,1.130
1616751333.579,11482038272.0,1654558720.0,34792755200.0,7.63380420608e+11,0.376,0.371,99.243,0.0,0.0,0.010,0.0,0.0,7263723.800,10241241.800,0.0,0.0,64070.400,85394.800,1.080,1.160,1.130
