epoch,timestamp,operations,operations-delta,operations/second
1616750862.134,26/03/2021 12:27:42,22832,22832,22809.191
1616750863.134,26/03/2021 12:27:43,47177,24345,24345
1616750864.134,26/03/2021 12:27:44,73724,26547,26547
1616750865.134,26/03/2021 12:27:45,101883,28159,28159
1616750866.134,26/03/2021 12:27:46,129408,27525,27525
1616750867.134,26/03/2021 12:27:47,155436,26028,26028
1616750868.135,26/03/2021 12:27:48,181116,25680,25654.346
1616750869.135,26/03/2021 12:27:49,206593,25477,25477
1616750870.135,26/03/2021 12:27:50,232283,25690,25690
1616750871.135,26/03/2021 12:27:51,258595,26312,26312
1616750872.135,26/03/2021 12:27:52,284973,26378,26378
1616750873.135,26/03/2021 12:27:53,311677,26704,26704
1616750874.135,26/03/2021 12:27:54,337968,26291,26291
1616750875.135,26/03/2021 12:27:55,364529,26561,26561
1616750876.135,26/03/2021 12:27:56,390418,25889,25889
1616750877.135,26/03/2021 12:27:57,416181,25763,25763
1616750878.136,26/03/2021 12:27:58,442481,26300,26273.726
1616750879.136,26/03/2021 12:27:59,467235,24754,24754
1616750880.136,26/03/2021 12:28:00,494039,26804,26804
1616750881.136,26/03/2021 12:28:01,520468,26429,26429
1616750882.136,26/03/2021 12:28:02,546438,25970,25970
1616750883.136,26/03/2021 12:28:03,572791,26353,26353
1616750884.136,26/03/2021 12:28:04,598987,26196,26196
1616750885.136,26/03/2021 12:28:05,625201,26214,26214
1616750886.136,26/03/2021 12:28:06,650520,25319,25319
1616750887.137,26/03/2021 12:28:07,677113,26593,26566.434
1616750888.137,26/03/2021 12:28:08,703199,26086,26086
1616750889.137,26/03/2021 12:28:09,729681,26482,26482
1616750890.137,26/03/2021 12:28:10,755637,25956,25956
1616750891.137,26/03/2021 12:28:11,782335,26698,26698
1616750892.137,26/03/2021 12:28:12,809019,26684,26684
1616750893.137,26/03/2021 12:28:13,835195,26176,26176
1616750894.137,26/03/2021 12:28:14,861186,25991,25991
1616750895.137,26/03/2021 12:28:15,887659,26473,26473
1616750896.138,26/03/2021 12:28:16,913683,26024,25998.002
1616750897.138,26/03/2021 12:28:17,940476,26793,26793
1616750898.138,26/03/2021 12:28:18,966740,26264,26264
1616750899.138,26/03/2021 12:28:19,993382,26642,26642
1616750900.138,26/03/2021 12:28:20,1019981,26599,26599
1616750901.138,26/03/2021 12:28:21,1046757,26776,26776
1616750902.138,26/03/2021 12:28:22,1073221,26464,26464
1616750903.138,26/03/2021 12:28:23,1100303,27082,27082
1616750904.138,26/03/2021 12:28:24,1126985,26682,26682
1616750905.139,26/03/2021 12:28:25,1153717,26732,26705.295
1616750906.139,26/03/2021 12:28:26,1180190,26473,26473
1616750907.14,26/03/2021 12:28:27,1207134,26944,26917.083
1616750908.14,26/03/2021 12:28:28,1234019,26885,26885
1616750909.14,26/03/2021 12:28:29,1260957,26938,26938
1616750910.14,26/03/2021 12:28:30,1287295,26338,26338
1616750911.14,26/03/2021 12:28:31,1313673,26378,26378
1616750912.14,26/03/2021 12:28:32,1340284,26611,26611
1616750913.14,26/03/2021 12:28:33,1366558,26274,26274
1616750914.141,26/03/2021 12:28:34,1393639,27081,27053.946
1616750915.142,26/03/2021 12:28:35,1419805,26166,26139.86
1616750916.142,26/03/2021 12:28:36,1446289,26484,26484
1616750917.142,26/03/2021 12:28:37,1472186,25897,25897
1616750918.142,26/03/2021 12:28:38,1498219,26033,26033
1616750919.142,26/03/2021 12:28:39,1524075,25856,25856
1616750920.142,26/03/2021 12:28:40,1550173,26098,26098
1616750921.142,26/03/2021 12:28:41,1576463,26290,26290
1616750922.142,26/03/2021 12:28:42,1602537,26074,26074
1616750923.142,26/03/2021 12:28:43,1628596,26059,26059
1616750924.142,26/03/2021 12:28:44,1655042,26446,26446
1616750925.142,26/03/2021 12:28:45,1681042,26000,26000
1616750926.143,26/03/2021 12:28:46,1707211,26169,26142.857
1616750927.143,26/03/2021 12:28:47,1733222,26011,26011
1616750928.143,26/03/2021 12:28:48,1758939,25717,25717
1616750929.143,26/03/2021 12:28:49,1784915,25976,25976
1616750930.143,26/03/2021 12:28:50,1811394,26479,26479
1616750931.143,26/03/2021 12:28:51,1837520,26126,26126
1616750932.143,26/03/2021 12:28:52,1863484,25964,25964
1616750933.143,26/03/2021 12:28:53,1889786,26302,26302
1616750934.144,26/03/2021 12:28:54,1916193,26407,26380.619
1616750935.144,26/03/2021 12:28:55,1942573,26380,26380
1616750936.144,26/03/2021 12:28:56,1968570,25997,25997
1616750937.144,26/03/2021 12:28:57,1994963,26393,26393
1616750938.144,26/03/2021 12:28:58,2020977,26014,26014
1616750939.144,26/03/2021 12:28:59,2047191,26214,26214
1616750940.144,26/03/2021 12:29:00,2073532,26341,26341
1616750941.144,26/03/2021 12:29:01,2100038,26506,26506
1616750942.144,26/03/2021 12:29:02,2126798,26760,26760
1616750943.144,26/03/2021 12:29:03,2153407,26609,26609
1616750944.144,26/03/2021 12:29:04,2179068,25661,25661
1616750945.144,26/03/2021 12:29:05,2205189,26121,26121
1616750946.145,26/03/2021 12:29:06,2231567,26378,26351.648
1616750947.145,26/03/2021 12:29:07,2257274,25707,25707
1616750948.145,26/03/2021 12:29:08,2283156,25882,25882
1616750949.145,26/03/2021 12:29:09,2309207,26051,26051
1616750950.145,26/03/2021 12:29:10,2335661,26454,26454
1616750951.145,26/03/2021 12:29:11,2361250,25589,25589
1616750952.145,26/03/2021 12:29:12,2387777,26527,26527
1616750953.145,26/03/2021 12:29:13,2414146,26369,26369
1616750954.145,26/03/2021 12:29:14,2440125,25979,25979
1616750955.145,26/03/2021 12:29:15,2465594,25469,25469
1616750956.145,26/03/2021 12:29:16,2491668,26074,26074
1616750957.146,26/03/2021 12:29:17,2517931,26263,26236.763
1616750958.146,26/03/2021 12:29:18,2544309,26378,26378
1616750959.146,26/03/2021 12:29:19,2570276,25967,25967
1616750960.146,26/03/2021 12:29:20,2595974,25698,25698
1616750961.146,26/03/2021 12:29:21,2621724,25750,25750
1616750962.146,26/03/2021 12:29:22,2647703,25979,25979
1616750963.146,26/03/2021 12:29:23,2673524,25821,25821
1616750964.146,26/03/2021 12:29:24,2699551,26027,26027
1616750965.146,26/03/2021 12:29:25,2725765,26214,26214
1616750966.146,26/03/2021 12:29:26,2751563,25798,25798
1616750967.147,26/03/2021 12:29:27,2777257,25694,25668.332
1616750968.147,26/03/2021 12:29:28,2803269,26012,26012
1616750969.147,26/03/2021 12:29:29,2829054,25785,25785
1616750970.147,26/03/2021 12:29:30,2853664,24610,24610
1616750971.147,26/03/2021 12:29:31,2879448,25784,25784
1616750972.147,26/03/2021 12:29:32,2905563,26115,26115
1616750973.147,26/03/2021 12:29:33,2931802,26239,26239
1616750974.147,26/03/2021 12:29:34,2957748,25946,25946
1616750975.147,26/03/2021 12:29:35,2983234,25486,25486
1616750976.147,26/03/2021 12:29:36,3009408,26174,26174
1616750977.147,26/03/2021 12:29:37,3035419,26011,26011
1616750978.148,26/03/2021 12:29:38,3061545,26126,26099.9
1616750979.148,26/03/2021 12:29:39,3087855,26310,26310
1616750980.148,26/03/2021 12:29:40,3113631,25776,25776
1616750981.148,26/03/2021 12:29:41,3138880,25249,25249
1616750982.148,26/03/2021 12:29:42,3164904,26024,26024
1616750983.148,26/03/2021 12:29:43,3190421,25517,25517
1616750984.148,26/03/2021 12:29:44,3214398,23977,23977
1616750985.148,26/03/2021 12:29:45,3239858,25460,25460
1616750986.148,26/03/2021 12:29:46,3265337,25479,25479
1616750987.157,26/03/2021 12:29:47,3290924,25587,25358.771
1616750988.157,26/03/2021 12:29:48,3315982,25058,25058
1616750989.157,26/03/2021 12:29:49,3341174,25192,25192
1616750990.158,26/03/2021 12:29:50,3366843,25669,25643.357
1616750991.158,26/03/2021 12:29:51,3391740,24897,24897
1616750992.158,26/03/2021 12:29:52,3417251,25511,25511
1616750993.158,26/03/2021 12:29:53,3442474,25223,25223
1616750994.158,26/03/2021 12:29:54,3468110,25636,25636
1616750995.158,26/03/2021 12:29:55,3493745,25635,25635
1616750996.158,26/03/2021 12:29:56,3519369,25624,25624
1616750997.158,26/03/2021 12:29:57,3544663,25294,25294
1616750998.158,26/03/2021 12:29:58,3569913,25250,25250
1616750999.158,26/03/2021 12:29:59,3595460,25547,25547
1616751000.159,26/03/2021 12:30:00,3620807,25347,25321.678
1616751001.159,26/03/2021 12:30:01,3646434,25627,25627
1616751002.159,26/03/2021 12:30:02,3671364,24930,24930
1616751003.159,26/03/2021 12:30:03,3696617,25253,25253
1616751004.159,26/03/2021 12:30:04,3722354,25737,25737
1616751005.159,26/03/2021 12:30:05,3746756,24402,24402
1616751006.159,26/03/2021 12:30:06,3771888,25132,25132
1616751007.159,26/03/2021 12:30:07,3796627,24739,24739
1616751008.159,26/03/2021 12:30:08,3821601,24974,24974
1616751009.159,26/03/2021 12:30:09,3846914,25313,25313
1616751010.16,26/03/2021 12:30:10,3872099,25185,25159.84
1616751011.16,26/03/2021 12:30:11,3897307,25208,25208
1616751012.16,26/03/2021 12:30:12,3922172,24865,24865
1616751013.16,26/03/2021 12:30:13,3947524,25352,25352
1616751014.16,26/03/2021 12:30:14,3972959,25435,25435
1616751015.16,26/03/2021 12:30:15,3998163,25204,25204
1616751016.16,26/03/2021 12:30:16,4023008,24845,24845
1616751017.16,26/03/2021 12:30:17,4048081,25073,25073
1616751018.16,26/03/2021 12:30:18,4073144,25063,25063
1616751019.16,26/03/2021 12:30:19,4098367,25223,25223
1616751020.16,26/03/2021 12:30:20,4123508,25141,25141
1616751021.161,26/03/2021 12:30:21,4147951,24443,24418.581
1616751022.161,26/03/2021 12:30:22,4173407,25456,25456
1616751023.161,26/03/2021 12:30:23,4198526,25119,25119
1616751024.161,26/03/2021 12:30:24,4221850,23324,23324
1616751025.161,26/03/2021 12:30:25,4248183,26333,26333
1616751026.161,26/03/2021 12:30:26,4274443,26260,26260
1616751027.161,26/03/2021 12:30:27,4300289,25846,25846
1616751028.161,26/03/2021 12:30:28,4326431,26142,26142
1616751029.161,26/03/2021 12:30:29,4352557,26126,26126
1616751030.162,26/03/2021 12:30:30,4378467,25910,25884.116
1616751031.162,26/03/2021 12:30:31,4405021,26554,26554
1616751032.162,26/03/2021 12:30:32,4430629,25608,25608
1616751033.162,26/03/2021 12:30:33,4456950,26321,26321
1616751034.162,26/03/2021 12:30:34,4483367,26417,26417
1616751035.162,26/03/2021 12:30:35,4509550,26183,26183
1616751036.162,26/03/2021 12:30:36,4535712,26162,26162
1616751037.162,26/03/2021 12:30:37,4562124,26412,26412
1616751038.162,26/03/2021 12:30:38,4587913,25789,25789
1616751039.162,26/03/2021 12:30:39,4613773,25860,25860
1616751040.162,26/03/2021 12:30:40,4639718,25945,25945
1616751041.163,26/03/2021 12:30:41,4666055,26337,26310.689
1616751042.163,26/03/2021 12:30:42,4692577,26522,26522
1616751043.163,26/03/2021 12:30:43,4719292,26715,26715
1616751044.163,26/03/2021 12:30:44,4745930,26638,26638
1616751045.163,26/03/2021 12:30:45,4772602,26672,26672
1616751046.163,26/03/2021 12:30:46,4799319,26717,26717
1616751047.163,26/03/2021 12:30:47,4825213,25894,25894
1616751048.163,26/03/2021 12:30:48,4851530,26317,26317
1616751049.163,26/03/2021 12:30:49,4877614,26084,26084
1616751050.163,26/03/2021 12:30:50,4903658,26044,26044
1616751051.164,26/03/2021 12:30:51,4930640,26982,26955.045
1616751052.164,26/03/2021 12:30:52,4957368,26728,26728
1616751053.164,26/03/2021 12:30:53,4983748,26380,26380
1616751054.164,26/03/2021 12:30:54,5010158,26410,26410
1616751055.164,26/03/2021 12:30:55,5036223,26065,26065
1616751056.164,26/03/2021 12:30:56,5063039,26816,26816
1616751057.164,26/03/2021 12:30:57,5089683,26644,26644
1616751058.164,26/03/2021 12:30:58,5116868,27185,27185
1616751059.164,26/03/2021 12:30:59,5143643,26775,26775
1616751060.164,26/03/2021 12:31:00,5170412,26769,26769
1616751061.164,26/03/2021 12:31:01,5198274,27862,27862
1616751062.164,26/03/2021 12:31:02,5224880,26606,26606
1616751063.164,26/03/2021 12:31:03,5252026,27146,27146
1616751064.165,26/03/2021 12:31:04,5278066,26040,26013.986
1616751065.165,26/03/2021 12:31:05,5304470,26404,26404
1616751066.165,26/03/2021 12:31:06,5331008,26538,26538
1616751067.165,26/03/2021 12:31:07,5357688,26680,26680
1616751068.165,26/03/2021 12:31:08,5384661,26973,26973
1616751069.165,26/03/2021 12:31:09,5410981,26320,26320
1616751070.165,26/03/2021 12:31:10,5437484,26503,26503
1616751071.165,26/03/2021 12:31:11,5465239,27755,27755
1616751072.165,26/03/2021 12:31:12,5492382,27143,27143
1616751073.165,26/03/2021 12:31:13,5518856,26474,26474
1616751074.165,26/03/2021 12:31:14,5545282,26426,26426
1616751075.165,26/03/2021 12:31:15,5572270,26988,26988
1616751076.166,26/03/2021 12:31:16,5598675,26405,26378.621
1616751077.166,26/03/2021 12:31:17,5625145,26470,26470
1616751078.166,26/03/2021 12:31:18,5651620,26475,26475
1616751079.166,26/03/2021 12:31:19,5678141,26521,26521
1616751080.166,26/03/2021 12:31:20,5704864,26723,26723
1616751081.166,26/03/2021 12:31:21,5731686,26822,26822
