"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.13-SNAPSHOT/workers/2021-03-26__12_27_11/A1_dstat.csv 5",,,,"Date:","26 Mar 2021 12:27:16 +03"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1616750836.913,11351277568.0,1941692416.0,95011090432.0,7.0300534784e+11,9.561,3.591,85.755,0.003,0.0,1.089,334.880,155079.625,0.0,0.0,0.0,0.0,16086.412,219261.771,1.070,1.170,1.260
1616750841.939,11775692800.0,1941692416.0,95011229696.0,7.02580793344e+11,3.009,0.534,96.452,0.0,0.0,0.005,0.0,0.0,10607.400,5928.200,0.0,0.0,5019.600,8969.0,1.140,1.180,1.270
1616750846.938,11790671872.0,1941692416.0,95011233792.0,7.02565810176e+11,0.576,0.085,99.329,0.005,0.0,0.005,0.0,0.0,1537.800,1338.400,0.0,0.0,1687.800,2448.600,1.130,1.180,1.260
1616750851.938,11803840512.0,1941692416.0,95011241984.0,7.02552633344e+11,0.255,0.070,99.675,0.0,0.0,0.0,0.0,0.0,1521.200,780.600,0.0,0.0,1123.600,1270.200,1.120,1.180,1.260
1616750856.938,12282490880.0,1941692416.0,95011368960.0,7.02073856e+11,6.510,0.924,92.535,0.0,0.0,0.030,0.0,52428.800,62016.800,295900.400,0.0,0.0,9805.200,17802.0,1.110,1.170,1.260
1616750861.938,12628713472.0,1941692416.0,95011401728.0,7.0172760064e+11,12.523,2.850,84.104,0.015,0.0,0.508,0.0,0.0,11229246.400,25020758.200,0.0,0.0,39000.400,114305.0,1.180,1.190,1.270
1616750866.938,12725350400.0,1941692416.0,95011438592.0,7.01630926848e+11,5.174,5.779,88.237,0.056,0.0,0.754,0.0,4096.0,18289930.400,11494180.800,0.0,0.0,69634.800,224981.600,1.330,1.220,1.270
1616750871.923,12749119488.0,1941692416.0,95011454976.0,7.01607141376e+11,4.996,5.479,88.753,0.005,0.0,0.767,0.0,31129.600,17876642.600,11343541.200,0.0,0.0,61579.800,215519.200,1.940,1.350,1.320
1616750876.938,12764991488.0,1941692416.0,95011475456.0,7.01591248896e+11,4.565,5.496,89.064,0.0,0.0,0.875,0.0,21299.200,18307280.200,11547883.200,0.0,0.0,59900.800,221124.800,2.350,1.440,1.350
1616750881.914,12872699904.0,1941692416.0,95011495936.0,7.0148352e+11,4.305,5.812,89.098,0.052,0.0,0.733,0.0,819.200,17986944.800,11270867.0,0.0,0.0,58630.400,215905.200,2.640,1.520,1.370
1616750886.928,12878721024.0,1941692416.0,95011512320.0,7.01477482496e+11,4.438,5.440,89.223,0.046,0.0,0.853,0.0,87552.0,18230609.400,11428264.600,0.0,0.0,59422.200,217977.0,2.990,1.610,1.400
1616750891.938,12881502208.0,1941692416.0,95011532800.0,7.01474680832e+11,4.122,5.373,89.705,0.031,0.0,0.769,0.0,24576.0,18312295.400,11552434.400,0.0,0.0,58857.200,218834.0,2.990,1.630,1.410
