epoch,timestamp,operations,operations-delta,operations/second
1616749092.415,26/03/2021 11:58:12,3002,3002,2999.001
1616749093.415,26/03/2021 11:58:13,6003,3001,3001
1616749094.415,26/03/2021 11:58:14,9005,3002,3002
1616749095.415,26/03/2021 11:58:15,12004,2999,2999
1616749096.415,26/03/2021 11:58:16,15005,3001,3001
1616749097.416,26/03/2021 11:58:17,18005,3000,2997.003
1616749098.416,26/03/2021 11:58:18,21006,3001,3001
1616749099.416,26/03/2021 11:58:19,24007,3001,3001
1616749100.416,26/03/2021 11:58:20,27008,3001,3001
1616749101.416,26/03/2021 11:58:21,30008,3000,3000
1616749102.416,26/03/2021 11:58:22,33008,3000,3000
1616749103.416,26/03/2021 11:58:23,36008,3000,3000
1616749104.417,26/03/2021 11:58:24,39009,3001,2998.002
1616749105.417,26/03/2021 11:58:25,42009,3000,3000
1616749106.417,26/03/2021 11:58:26,45009,3000,3000
1616749107.417,26/03/2021 11:58:27,48009,3000,3000
1616749108.417,26/03/2021 11:58:28,51010,3001,3001
1616749109.417,26/03/2021 11:58:29,54010,3000,3000
1616749110.417,26/03/2021 11:58:30,57011,3001,3001
1616749111.417,26/03/2021 11:58:31,60011,3000,3000
1616749112.417,26/03/2021 11:58:32,63010,2999,2999
1616749113.418,26/03/2021 11:58:33,66011,3001,2998.002
1616749114.418,26/03/2021 11:58:34,69011,3000,3000
1616749115.418,26/03/2021 11:58:35,72012,3001,3001
1616749116.418,26/03/2021 11:58:36,75012,3000,3000
1616749117.418,26/03/2021 11:58:37,78013,3001,3001
1616749118.418,26/03/2021 11:58:38,81013,3000,3000
1616749119.418,26/03/2021 11:58:39,84013,3000,3000
1616749120.418,26/03/2021 11:58:40,87012,2999,2999
1616749121.418,26/03/2021 11:58:41,90013,3001,3001
1616749122.419,26/03/2021 11:58:42,93016,3003,3000
1616749123.419,26/03/2021 11:58:43,96014,2998,2998
1616749124.419,26/03/2021 11:58:44,99014,3000,3000
1616749125.419,26/03/2021 11:58:45,102015,3001,3001
1616749126.419,26/03/2021 11:58:46,105018,3003,3003
1616749127.419,26/03/2021 11:58:47,108018,3000,3000
1616749128.419,26/03/2021 11:58:48,111018,3000,3000
1616749129.42,26/03/2021 11:58:49,114020,3002,2999.001
1616749130.42,26/03/2021 11:58:50,117020,3000,3000
1616749131.42,26/03/2021 11:58:51,120020,3000,3000
1616749132.42,26/03/2021 11:58:52,123020,3000,3000
1616749133.42,26/03/2021 11:58:53,126020,3000,3000
1616749134.42,26/03/2021 11:58:54,129021,3001,3001
1616749135.42,26/03/2021 11:58:55,132021,3000,3000
1616749136.421,26/03/2021 11:58:56,135021,3000,2997.003
1616749137.421,26/03/2021 11:58:57,138021,3000,3000
1616749138.421,26/03/2021 11:58:58,141021,3000,3000
1616749139.421,26/03/2021 11:58:59,144021,3000,3000
1616749140.421,26/03/2021 11:59:00,147023,3002,3002
1616749141.421,26/03/2021 11:59:01,150022,2999,2999
1616749142.421,26/03/2021 11:59:02,153022,3000,3000
1616749143.421,26/03/2021 11:59:03,156022,3000,3000
1616749144.422,26/03/2021 11:59:04,159022,3000,2997.003
1616749145.422,26/03/2021 11:59:05,162023,3001,3001
1616749146.422,26/03/2021 11:59:06,165024,3001,3001
1616749147.422,26/03/2021 11:59:07,168023,2999,2999
1616749148.422,26/03/2021 11:59:08,171024,3001,3001
1616749149.422,26/03/2021 11:59:09,174025,3001,3001
1616749150.422,26/03/2021 11:59:10,177026,3001,3001
1616749151.422,26/03/2021 11:59:11,180026,3000,3000
1616749152.422,26/03/2021 11:59:12,183027,3001,3001
1616749153.423,26/03/2021 11:59:13,186026,2999,2996.004
1616749154.423,26/03/2021 11:59:14,189027,3001,3001
1616749155.423,26/03/2021 11:59:15,192028,3001,3001
1616749156.423,26/03/2021 11:59:16,195028,3000,3000
1616749157.423,26/03/2021 11:59:17,198028,3000,3000
1616749158.423,26/03/2021 11:59:18,201029,3001,3001
1616749159.423,26/03/2021 11:59:19,204029,3000,3000
1616749160.423,26/03/2021 11:59:20,207030,3001,3001
1616749161.423,26/03/2021 11:59:21,210030,3000,3000
1616749162.424,26/03/2021 11:59:22,213030,3000,2997.003
1616749163.424,26/03/2021 11:59:23,216031,3001,3001
1616749164.424,26/03/2021 11:59:24,219031,3000,3000
1616749165.424,26/03/2021 11:59:25,222031,3000,3000
1616749166.424,26/03/2021 11:59:26,225031,3000,3000
1616749167.424,26/03/2021 11:59:27,228031,3000,3000
1616749168.424,26/03/2021 11:59:28,231032,3001,3001
1616749169.425,26/03/2021 11:59:29,234032,3000,2997.003
