epoch,timestamp,operations,operations-delta,operations/second
1616769311.309,26/03/2021 17:35:11,3068,3068,3064.935
1616769312.309,26/03/2021 17:35:12,6068,3000,3000
1616769313.31,26/03/2021 17:35:13,9072,3004,3000.999
1616769314.31,26/03/2021 17:35:14,12069,2997,2997
1616769315.31,26/03/2021 17:35:15,15070,3001,3001
1616769316.31,26/03/2021 17:35:16,18070,3000,3000
1616769317.31,26/03/2021 17:35:17,21072,3002,3002
1616769318.31,26/03/2021 17:35:18,24072,3000,3000
1616769319.31,26/03/2021 17:35:19,27072,3000,3000
1616769320.311,26/03/2021 17:35:20,30072,3000,2997.003
1616769321.311,26/03/2021 17:35:21,33072,3000,3000
1616769322.311,26/03/2021 17:35:22,36072,3000,3000
1616769323.311,26/03/2021 17:35:23,39073,3001,3001
1616769324.311,26/03/2021 17:35:24,42074,3001,3001
1616769325.311,26/03/2021 17:35:25,45074,3000,3000
1616769326.311,26/03/2021 17:35:26,48075,3001,3001
1616769327.311,26/03/2021 17:35:27,51075,3000,3000
1616769328.311,26/03/2021 17:35:28,54075,3000,3000
1616769329.312,26/03/2021 17:35:29,57075,3000,2997.003
1616769330.312,26/03/2021 17:35:30,60075,3000,3000
1616769331.312,26/03/2021 17:35:31,63075,3000,3000
1616769332.312,26/03/2021 17:35:32,66075,3000,3000
1616769333.312,26/03/2021 17:35:33,69075,3000,3000
1616769334.312,26/03/2021 17:35:34,72076,3001,3001
1616769335.312,26/03/2021 17:35:35,75077,3001,3001
1616769336.312,26/03/2021 17:35:36,78076,2999,2999
1616769337.312,26/03/2021 17:35:37,81076,3000,3000
1616769338.312,26/03/2021 17:35:38,84079,3003,3003
1616769339.313,26/03/2021 17:35:39,87078,2999,2996.004
1616769340.313,26/03/2021 17:35:40,90078,3000,3000
1616769341.313,26/03/2021 17:35:41,93079,3001,3001
1616769342.313,26/03/2021 17:35:42,96079,3000,3000
1616769343.314,26/03/2021 17:35:43,99082,3003,3000
1616769344.314,26/03/2021 17:35:44,102082,3000,3000
1616769345.314,26/03/2021 17:35:45,105082,3000,3000
1616769346.314,26/03/2021 17:35:46,108082,3000,3000
1616769347.314,26/03/2021 17:35:47,111084,3002,3002
1616769348.314,26/03/2021 17:35:48,114084,3000,3000
1616769349.314,26/03/2021 17:35:49,117084,3000,3000
1616769350.314,26/03/2021 17:35:50,120084,3000,3000
1616769351.314,26/03/2021 17:35:51,123084,3000,3000
1616769352.315,26/03/2021 17:35:52,126084,3000,2997.003
1616769353.315,26/03/2021 17:35:53,129085,3001,3001
1616769354.315,26/03/2021 17:35:54,132085,3000,3000
1616769355.315,26/03/2021 17:35:55,135085,3000,3000
1616769356.315,26/03/2021 17:35:56,137963,2878,2878
1616769357.315,26/03/2021 17:35:57,141085,3122,3122
1616769358.315,26/03/2021 17:35:58,144085,3000,3000
1616769359.315,26/03/2021 17:35:59,147087,3002,3002
1616769360.316,26/03/2021 17:36:00,150087,3000,2997.003
1616769361.316,26/03/2021 17:36:01,153086,2999,2999
1616769362.316,26/03/2021 17:36:02,156088,3002,3002
1616769363.316,26/03/2021 17:36:03,159088,3000,3000
1616769364.316,26/03/2021 17:36:04,162089,3001,3001
1616769365.316,26/03/2021 17:36:05,165089,3000,3000
1616769366.316,26/03/2021 17:36:06,168089,3000,3000
1616769367.316,26/03/2021 17:36:07,171089,3000,3000
1616769368.316,26/03/2021 17:36:08,174091,3002,3002
1616769369.317,26/03/2021 17:36:09,177090,2999,2996.004
1616769370.317,26/03/2021 17:36:10,180091,3001,3001
1616769371.317,26/03/2021 17:36:11,183091,3000,3000
1616769372.317,26/03/2021 17:36:12,186092,3001,3001
1616769373.317,26/03/2021 17:36:13,189092,3000,3000
1616769374.317,26/03/2021 17:36:14,192092,3000,3000
