"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.13-SNAPSHOT/workers/2021-03-26__17_34_31/A1_dstat.csv 5",,,,"Date:","26 Mar 2021 17:34:36 +03"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1616769276.910,11392970752.0,1941667840.0,95054893056.0,7.02919876608e+11,9.554,3.589,85.765,0.003,0.0,1.089,334.943,155053.904,0.0,0.0,0.0,0.0,16084.595,219115.534,2.160,3.230,2.220
1616769281.935,11406802944.0,1941667840.0,95055028224.0,7.02905909248e+11,0.294,0.214,99.492,0.0,0.0,0.0,0.0,0.0,11219.600,6745.0,0.0,0.0,1809.600,1913.0,2.060,3.190,2.210
1616769286.935,11413204992.0,1941667840.0,95055560704.0,7.0289897472e+11,2.162,0.903,96.909,0.0,0.0,0.025,0.0,1486028.800,6832.400,689.800,0.0,0.0,4523.400,5326.200,2.220,3.200,2.220
1616769291.919,11830538240.0,1941667840.0,95068758016.0,7.0246844416e+11,3.197,0.457,96.330,0.0,0.0,0.015,0.0,3418214.400,230210.0,8781.600,0.0,0.0,5111.400,10282.400,2.120,3.170,2.210
1616769296.935,11869786112.0,1941667840.0,95068774400.0,7.02429179904e+11,1.453,0.165,98.372,0.0,0.0,0.010,0.0,312320.0,198649.600,32073.600,0.0,0.0,3438.0,5473.800,2.270,3.180,2.220
1616769301.935,11891220480.0,1941667840.0,95069564928.0,7.02406955008e+11,2.509,1.074,96.397,0.0,0.0,0.020,0.0,1538457.600,10058.200,1261.600,0.0,0.0,5298.600,5980.0,2.250,3.160,2.220
1616769306.935,12403847168.0,1941667840.0,95082631168.0,7.0188126208e+11,4.757,0.688,94.530,0.005,0.0,0.020,0.0,3407974.400,234804.800,9438.400,0.0,0.0,6614.600,10874.0,2.870,3.280,2.260
1616769311.935,12575059968.0,1941667840.0,95082672128.0,7.0171000832e+11,12.160,2.402,84.945,0.030,0.0,0.462,0.0,0.0,10402410.600,24634988.0,0.0,0.0,36562.200,99447.600,3.200,3.340,2.290
1616769316.933,12588945408.0,1941667840.0,95082684416.0,7.01696110592e+11,1.767,1.284,96.796,0.0,0.0,0.152,0.0,0.0,2166546.200,1388182.200,0.0,0.0,28704.200,45481.400,3.100,3.320,2.290
1616769321.914,12623917056.0,1941667840.0,95082696704.0,7.01661126656e+11,1.247,1.217,97.363,0.0,0.0,0.173,0.0,0.0,2149870.800,1364300.200,0.0,0.0,26111.0,45185.200,3.020,3.290,2.290
1616769326.919,12634284032.0,1941667840.0,95082713088.0,7.01650743296e+11,1.053,1.088,97.701,0.0,0.0,0.157,0.0,295936.0,2146514.800,1364553.600,0.0,0.0,23902.800,45267.400,2.850,3.260,2.280
1616769331.919,12654120960.0,1941667840.0,95082725376.0,7.0163089408e+11,1.074,1.120,97.669,0.0,0.0,0.137,0.0,0.0,2144610.400,1388218.200,0.0,0.0,23525.0,45260.400,2.870,3.250,2.280
1616769336.923,12671746048.0,1941667840.0,95082737664.0,7.01613256704e+11,1.043,1.084,97.726,0.0,0.0,0.147,0.0,20480.0,2137628.0,1387175.800,0.0,0.0,23807.600,45052.800,2.800,3.230,2.280
1616769341.932,12694585344.0,1941667840.0,95082754048.0,7.01590401024e+11,0.874,1.162,97.792,0.0,0.0,0.172,0.0,12288.0,2135787.400,1367164.0,0.0,0.0,23103.200,45041.0,2.650,3.190,2.270
1616769346.915,12717268992.0,1941667840.0,95082758144.0,7.0156771328e+11,0.935,1.219,97.674,0.0,0.0,0.173,0.0,10649.600,2172856.200,1372635.200,0.0,0.0,22899.400,44770.0,2.600,3.170,2.270
1616769351.935,12716400640.0,1941667840.0,95082774528.0,7.01568565248e+11,1.099,1.174,97.566,0.010,0.0,0.151,0.0,0.0,2161227.200,1376367.200,0.0,0.0,23368.200,45177.400,2.550,3.150,2.270
1616769356.935,12813873152.0,1941667840.0,95082790912.0,7.01471076352e+11,1.582,1.556,96.710,0.005,0.0,0.147,0.0,58368.0,2156047.400,1371640.400,0.0,0.0,29210.0,44742.200,2.510,3.130,2.270
1616769361.935,12815585280.0,1941667840.0,95082795008.0,7.01469360128e+11,0.968,1.049,97.850,0.005,0.0,0.127,0.0,819.200,2171518.200,1402618.0,0.0,0.0,24525.400,44782.800,2.470,3.120,2.270
1616769366.914,12816871424.0,1941667840.0,95082811392.0,7.014680576e+11,0.947,1.028,97.888,0.0,0.0,0.137,0.0,13926.400,2154136.600,1402308.200,0.0,0.0,23873.600,44743.400,2.350,3.080,2.260
1616769371.935,12815753216.0,1941667840.0,95082827776.0,7.01469159424e+11,0.792,1.180,97.877,0.0,0.0,0.151,0.0,4915.200,2182263.600,1388317.0,0.0,0.0,22912.400,44922.400,2.320,3.060,2.260
1616769376.935,12834246656.0,1941667840.0,95082840064.0,7.01450653696e+11,0.851,1.327,97.705,0.0,0.0,0.117,0.0,9011.200,2136691.600,1360988.200,0.0,0.0,24078.200,44749.200,2.220,3.030,2.250
1616769381.935,12835250176.0,1941667840.0,95082856448.0,7.01449633792e+11,0.901,1.260,97.712,0.0,0.0,0.127,0.0,12288.0,2131921.400,1363788.800,0.0,0.0,24021.600,44586.0,2.120,2.990,2.250
1616769386.935,12835287040.0,1941667840.0,95082872832.0,7.01449580544e+11,0.952,1.129,97.803,0.0,0.0,0.116,0.0,59084.800,2148584.0,1382893.200,0.0,0.0,23735.800,44608.400,2.110,2.980,2.250
1616769391.935,12836151296.0,1941667840.0,95082885120.0,7.01448704e+11,0.966,1.128,97.759,0.0,0.0,0.147,0.0,0.0,2148404.600,1383727.0,0.0,0.0,23740.600,44658.200,2.100,2.960,2.240
1616769396.935,12836700160.0,1941667840.0,95082901504.0,7.01448138752e+11,0.912,1.180,97.786,0.0,0.0,0.122,0.0,13926.400,2160256.600,1407759.0,0.0,0.0,24007.800,44623.800,2.010,2.930,2.240
1616769401.935,12836454400.0,1941667840.0,95082917888.0,7.01448368128e+11,0.844,1.380,97.644,0.005,0.0,0.126,0.0,0.0,2130103.800,1397636.400,0.0,0.0,23806.800,44824.0,1.930,2.900,2.230
1616769406.935,12843675648.0,1941667840.0,95082930176.0,7.01441134592e+11,1.055,1.504,97.295,0.010,0.0,0.136,0.0,4915.200,2139803.400,1370986.200,0.0,0.0,23734.800,44917.600,1.860,2.870,2.220
1616769411.935,12867366912.0,1941667840.0,95083208704.0,7.014171648e+11,1.114,1.744,96.966,0.0,0.0,0.176,0.0,819.200,2169716.400,1404346.400,0.0,0.0,24966.800,45025.800,1.790,2.830,2.220
1616769416.935,12883890176.0,1941667840.0,95083216896.0,7.01400633344e+11,1.220,1.396,97.208,0.0,0.0,0.176,0.0,128921.600,2164967.800,1365780.800,0.0,0.0,24336.800,44593.200,1.810,2.820,2.220
1616769421.935,12883496960.0,1941667840.0,95083233280.0,7.01401010176e+11,1.085,1.342,97.401,0.0,0.0,0.172,0.0,1638.400,2134545.400,1382644.200,0.0,0.0,24421.400,44882.0,1.900,2.820,2.220
1616769426.935,12926955520.0,1941667840.0,95083524096.0,7.013572608e+11,1.108,1.811,96.916,0.0,0.0,0.164,0.0,14745.600,2145244.0,1399358.0,0.0,0.0,42693.600,44831.600,2.070,2.840,2.230
1616769431.935,12926324736.0,1941667840.0,95083532288.0,7.01357883392e+11,0.958,1.439,97.443,0.0,0.0,0.160,0.0,0.0,2147459.800,1398011.200,0.0,0.0,51880.0,44853.600,2.060,2.830,2.230
1616769436.935,12943908864.0,1941667840.0,95083548672.0,7.0134028288e+11,1.025,1.542,97.294,0.0,0.0,0.140,0.0,0.0,2136904.200,1416019.800,0.0,0.0,51138.0,44906.800,2.060,2.820,2.230
1616769441.935,12950831104.0,1941667840.0,95083560960.0,7.01333348352e+11,0.951,1.540,97.333,0.0,0.0,0.176,0.0,61440.0,2132054.600,1411420.800,0.0,0.0,51150.400,45010.200,2.050,2.800,2.230
1616769446.935,12968321024.0,1941667840.0,95083569152.0,7.0131585024e+11,0.982,1.525,97.301,0.005,0.0,0.186,0.0,56627.200,2153651.0,1378868.400,0.0,0.0,51331.0,44570.0,1.970,2.770,2.220
1616769451.935,12978307072.0,1941667840.0,95083581440.0,7.01305851904e+11,1.444,1.350,96.984,0.0,0.0,0.222,0.0,12288.0,2133888.200,1368265.600,0.0,0.0,51206.0,44793.0,1.970,2.760,2.220
1616769456.935,12992815104.0,1941667840.0,95083593728.0,7.01291331584e+11,1.096,1.411,97.343,0.0,0.0,0.150,0.0,75366.400,2173340.0,1364800.0,0.0,0.0,51121.400,44531.200,1.970,2.750,2.220
1616769461.935,12988055552.0,1941667840.0,95083610112.0,7.01296074752e+11,1.148,1.438,97.248,0.0,0.0,0.166,0.0,3276.800,2142413.0,1368421.800,0.0,0.0,51088.600,44894.200,1.900,2.720,2.210
1616769466.935,12992327680.0,1941667840.0,95083634688.0,7.01291778048e+11,0.945,1.627,97.274,0.0,0.0,0.155,0.0,0.0,2147219.0,1382630.800,0.0,0.0,51221.800,44697.600,1.820,2.690,2.200
1616769471.935,12992233472.0,1941667840.0,95087730688.0,7.01287776256e+11,1.095,1.482,97.242,0.005,0.0,0.176,0.0,851148.800,2128738.0,1383713.600,0.0,0.0,50997.600,44903.0,1.840,2.680,2.200
1616769476.935,12994502656.0,1941667840.0,95087947776.0,7.01285289984e+11,1.108,1.398,97.360,0.0,0.0,0.135,0.0,64921.600,2166130.200,1385628.800,0.0,0.0,51197.800,44627.200,1.930,2.680,2.210
1616769481.935,12994928640.0,1941667840.0,95088177152.0,7.01284634624e+11,0.921,1.403,97.542,0.0,0.0,0.135,0.0,0.0,2152517.400,1376152.600,0.0,0.0,51465.600,44789.200,1.860,2.660,2.200
1616769486.935,12995911680.0,1941667840.0,95088443392.0,7.01283385344e+11,0.964,1.348,97.564,0.0,0.0,0.124,0.0,0.0,2148656.0,1372170.800,0.0,0.0,51116.600,44652.0,1.870,2.650,2.200
1616769491.935,12992532480.0,1941667840.0,95088664576.0,7.0128654336e+11,1.165,1.455,97.235,0.0,0.0,0.145,0.0,0.0,2155781.400,1405473.800,0.0,0.0,51441.800,44844.800,1.960,2.650,2.210
