"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","SERVER3",,,,"User:","ahmet"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.13-SNAPSHOT/workers/2021-03-26__12_05_41/A3_dstat.csv 5",,,,"Date:","26 Mar 2021 12:05:47 +03"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1616749547.248,7832137728.0,811888640.0,21969043456.0,7.80696338432e+11,8.335,3.879,86.539,0.000,0.0,1.247,34.140,180877.311,0.0,0.0,0.0,0.0,7554.765,165415.151,1.020,1.060,1.050
1616749552.253,7829512192.0,811888640.0,21969018880.0,7.80698988544e+11,0.010,0.070,99.920,0.0,0.0,0.0,0.0,0.0,1896.400,1399.400,0.0,0.0,1153.200,1614.200,1.020,1.060,1.050
1616749557.253,7829131264.0,811888640.0,21969018880.0,7.80699369472e+11,0.010,0.045,99.945,0.0,0.0,0.0,0.0,0.0,287.200,76.800,0.0,0.0,1178.0,1676.200,1.020,1.060,1.050
1616749562.253,7829004288.0,811888640.0,21969018880.0,7.80699496448e+11,0.015,0.055,99.930,0.0,0.0,0.0,0.0,0.0,116.800,25.600,0.0,0.0,1214.200,1775.600,1.020,1.060,1.050
1616749567.253,7829037056.0,811888640.0,21969018880.0,7.8069946368e+11,0.025,0.040,99.935,0.0,0.0,0.0,0.0,80384.0,167.0,48.600,0.0,0.0,1183.0,1711.400,1.010,1.060,1.050
1616749572.253,7828815872.0,811888640.0,21969018880.0,7.80699684864e+11,0.010,0.030,99.960,0.0,0.0,0.0,0.0,4915.200,236.600,95.400,0.0,0.0,1180.800,1694.600,1.010,1.060,1.050
1616749577.253,7828480000.0,811888640.0,21969018880.0,7.80700020736e+11,0.010,0.030,99.960,0.0,0.0,0.0,0.0,15564.800,151.800,16.200,0.0,0.0,1179.400,1675.200,1.010,1.050,1.050
1616749582.253,7828258816.0,811888640.0,21969022976.0,7.80700237824e+11,0.010,0.025,99.965,0.0,0.0,0.0,0.0,1638.400,285.400,75.800,0.0,0.0,1168.400,1651.400,1.010,1.050,1.050
1616749587.253,7828500480.0,811888640.0,21969022976.0,7.8069999616e+11,0.010,0.035,99.955,0.0,0.0,0.0,0.0,0.0,313.600,111.800,0.0,0.0,1357.0,1640.800,1.010,1.050,1.050
1616749592.253,7828373504.0,811888640.0,21969022976.0,7.80700123136e+11,0.010,0.025,99.965,0.0,0.0,0.0,0.0,0.0,318.800,85.200,0.0,0.0,1172.0,1675.600,1.010,1.050,1.050
1616749597.253,7828230144.0,811888640.0,21969022976.0,7.80700266496e+11,0.010,0.025,99.965,0.0,0.0,0.0,0.0,59187.200,167.0,16.200,0.0,0.0,1150.600,1653.600,1.010,1.050,1.050
1616749602.253,7828152320.0,811888640.0,21969022976.0,7.8070034432e+11,0.020,0.035,99.945,0.0,0.0,0.0,0.0,0.0,191.0,81.800,0.0,0.0,1359.400,1698.400,1.010,1.050,1.050
